TIS_Function,Score,Provenance,Permitted_Use
Knowledge development,5.5,Author-coded aggregate; underlying records unavailable,Descriptive only; not comparative or inferential
Knowledge diffusion,3.8,Author-coded aggregate; underlying records unavailable,Descriptive only; not comparative or inferential
Entrepreneurial activities,1.5,Author-coded aggregate; underlying records unavailable,Descriptive only; not comparative or inferential
Guidance of the search,3.0,Author-coded aggregate; underlying records unavailable,Descriptive only; not comparative or inferential
Market formation,1.2,Author-coded aggregate; underlying records unavailable,Descriptive only; not comparative or inferential
Resource mobilisation,2.5,Author-coded aggregate; underlying records unavailable,Descriptive only; not comparative or inferential
Legitimation,2.0,Author-coded aggregate; underlying records unavailable,Descriptive only; not comparative or inferential
